"filename", "language", "YAML", "Markdown", "C#", "XML", "JSON", "Shell Script", "Batch", "JSON with Comments", "Properties", "TypeScript", "ASP.NET Razor", "HTML", "Docker", "CSS", "comment", "blank", "total"
"d:\диплом\treadnetattemp2\README.md", "Markdown", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 129
"d:\диплом\treadnetattemp2\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\AssemblyReference.cs", "C#", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 9
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\EmailSender.cs", "C#", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\EmailTemplatesSender.cs", "C#", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 28
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\Helper\EmbeddedResourceHelper.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\Helper\InMemoryRazorLightProject.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\Helper\RazorParser.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\IEmailSender.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\IEmailTemplatesSender.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\Models\PostWasLikedModel.cs", "C#", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\Templates\PostWasLikedTemplate.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Exceptions\ExpiredRefreshTokenException.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Exceptions\FailedSendingException.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Exceptions\InvalidTokenException.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Exceptions\InvalidUsernameOrPasswordException.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Exceptions\NotFoundException.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Hubs\IHubClient.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Hubs\PostHub.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\JWT\JwtFactory.cs", "C#", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23, 145
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\MappingProfiles\CommentProfile.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\MappingProfiles\PostProfile.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\MappingProfiles\ReactionProfile.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\MappingProfiles\UserProfile.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Services\Abstract\BaseService.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Services\Abstract\IDateTimeProvider.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
